experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Chair,run_1,50,178277,2.5,5.533809432521786,2.589869953361217,chair,21.02820861339569,84,194,0,15,0,0,0,0,0,7.402587129945459e-07,5.175638762011658e-06,5.393795618147124e-06,0.9999886751174927,5.9999589920043945,go_fast,go_fast,False,0.75,0.0,0.20499999821186066,38.19373321533203,14.793436050415039,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.117426496593741
Object in Road,Chair,run_1,55,178282,2.75,6.3755939529045955,3.8325726348871565,chair,19.614514231681824,72,129,0,0,0,0,0,0,0,4.122295194974868e-06,1.2231266737217084e-05,3.238073259126395e-05,0.9999512434005737,5.999828815460205,go_fast,go_fast,False,0.0,0.0,0.17800000309944153,38.080413818359375,10.516066551208496,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,3.257171205944048
Object in Road,Chair,run_1,60,178287,3.0,6.501195908929055,2.9561392474545225,chair,18.036463618278503,735,127,0,0,0,0,0,0,0,4.378221092338208e-07,3.914864919352112e-06,7.438154170813505e-06,0.9999881982803345,5.999959468841553,go_fast,go_fast,False,0.05624999850988388,0.0,0.1379999965429306,37.33831787109375,6.4467010498046875,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,2.8950213217980876
Object in Road,Chair,run_1,65,178292,3.25,6.016782227371812,2.8415321787128462,chair,16.505680918693542,91,145,0,30,0,0,0,0,0,5.112582357469364e-07,1.9074375813943334e-05,0.0002837514621205628,0.9996967315673828,5.999069690704346,go_fast,go_fast,False,0.05624999850988388,0.0,0.06300000101327896,36.17558670043945,3.3702714443206787,LANEFOLLOW,obstacle_detected,obstacle_detected,True,stop,False,,False,2.841049095918311
Object in Road,Chair,run_1,70,178297,3.5,5.4641440887657735,2.3612411251304493,chair,15.09690272808075,111,138,0,49,0,0,0,0,0,2.3401109672249731e-07,7.098441074049333e-06,0.00018411403289064765,0.9998086094856262,5.999418258666992,go_fast,go_fast,False,0.75,0.0,-0.0430000014603138,34.85372543334961,1.8256921768188477,LANEFOLLOW,obstacle_detected,obstacle_detected,True,stop,False,,False,2.8692062582425604
Object in Road,Chair,run_1,75,178302,3.75,5.302700858089003,1.3817045431562438,chair,13.805697321891785,177,122,0,26,0,0,0,0,0,3.520197822126647e-07,6.244795713428175e-06,0.00021969473164062947,0.9997736811637878,5.9993133544921875,go_fast,go_fast,False,0.75,0.0,0.014999999664723873,33.51072692871094,2.1952407360076904,LANEFOLLOW,obstacle_detected,obstacle_detected,True,stop,False,,False,2.7548499555358137
Object in Road,Chair,run_1,80,178307,4.0,6.108673699837027,4.1500569370207,chair,12.426673769950867,56,379,0,31,0,0,0,0,0,1.0440897568742002e-07,1.966865283975494e-06,2.685772187760449e-06,0.999995231628418,5.999983310699463,go_fast,go_fast,False,0.0,0.0,0.04600000008940697,32.100669860839844,2.0723142623901367,LANEFOLLOW,obstacle_detected,obstacle_detected,True,stop,False,,False,2.155309729705556
Object in Road,Chair,run_1,85,178312,4.25,6.3589477619721775,1.3764202781258894,chair,10.876278758049011,7,496,0,50,0,0,0,0,0,7.381176914122989e-08,4.128131877223495e-06,5.86676060265745e-06,0.9999899864196777,5.999965667724609,go_fast,go_fast,False,0.06875000149011612,0.0,-0.03400000184774399,30.54379653930664,1.3565106391906738,LANEFOLLOW,obstacle_detected,obstacle_detected,True,stop,False,,False,1.8174158020606483
Object in Road,Chair,run_1,90,178317,4.5,5.886396573321266,2.0969325024437055,chair,9.406713366508484,0,612,0,59,0,0,0,0,0,3.8295901561014034e-08,1.2094015801267233e-05,1.6566920749028213e-05,0.9999712705612183,5.999901294708252,go_fast,go_fast,False,0.75,0.0,-0.10100000351667404,29.000164031982422,1.6254894733428955,LANEFOLLOW,obstacle_detected,obstacle_detected,True,stop,False,,False,1.748626515132943
Object in Road,Chair,run_1,95,178322,4.75,5.760588101589875,1.9122696602473057,chair,8.080032229423523,0,878,0,54,0,0,0,0,0,1.234571300301468e-06,8.221787538786884e-06,1.893847979772545e-06,0.9999886751174927,5.9999542236328125,go_fast,go_fast,False,0.75,0.0,0.0989999994635582,27.466442108154297,2.943100690841675,LANEFOLLOW,obstacle_detected,obstacle_detected,True,stop,False,,False,1.6320132757641184
Object in Road,Chair,run_1,100,178327,5.0,6.529916717292697,4.12151491637787,chair,6.686211943626404,194,1586,0,15,0,0,0,0,0,3.9251781913662853e-07,1.4903106375641073e-06,1.6957011439444614e-07,0.9999979734420776,5.999990940093994,go_fast,go_fast,False,0.0,0.0,-0.009999999776482582,26.013450622558594,2.1354851722717285,LANEFOLLOW,obstacle_detected,obstacle_detected,True,stop,False,,False,1.180798222649821
Object in Road,Chair,run_1,105,178332,5.25,6.761586712377352,1.367227557421569,chair,5.208455920219421,249,3778,0,0,0,0,0,0,0,2.1900781632666622e-07,8.741985197957547e-07,3.43903906241394e-07,0.9999985694885254,5.999994277954102,go_fast,go_fast,False,0.0,1.0,-0.05299999937415123,24.33068084716797,1.9624828100204468,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,0.9925317388301442
Object in Road,Chair,run_1,110,178337,5.5,4.86503919889075,25.232265467292933,chair,4.019604563713074,93,3699,0,0,0,0,0,0,0,6.22809529886581e-05,0.0003062393516302109,3.564657527022064e-05,0.9995958209037781,5.998294353485107,go_fast,go_fast,False,0.75,0.0,0.0860000029206276,22.711776733398438,2.5465729236602783,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,1.344469916257398
Object in Road,Chair,run_1,115,178342,5.75,2.995082588063384,5.517408452855837,chair,3.5437062978744507,1254,1744,0,0,0,0,0,0,0,5.888833766221069e-05,0.6767956614494324,7.415068807858916e-07,0.3231447637081146,3.292462110519409,go,go_fast,True,0.75,0.0,0.3540000021457672,22.007848739624023,2.30098819732666,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,2.0732810896042664
Object in Road,Chair,run_1,120,178347,6.0,4.186721839176101,5.065574283814432,chair,2.9598673582077026,2284,6,0,0,0,0,0,0,0,0.0041975597850978374,0.002521797316148877,2.881133696064353e-06,0.9932777285575867,5.964718341827393,go_fast,go,True,0.75,0.0,0.23100000619888306,21.2293701171875,0.1847267597913742,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,1.1944400007681788
Object in Road,Chair,run_1,125,178352,6.25,5.327105822645313,4.76960303647612,chair,2.356836199760437,0,0,0,0,0,0,0,0,0,1.284912514165626e-06,1.137411231866281e-06,1.3916560703819414e-07,0.9999974966049194,5.999987602233887,go_fast,go_fast,False,0.75,0.0,0.3089999854564667,19.94402313232422,-2.059633255004883,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,1.2764976528551282
